Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
JOHNSTON,Rhode Island,RI ,Johnston,4400540,22817,1-Regular local school district that is NOT a component of a supervisory union
JOHNSTON CITY CUSD 1,Illinois,IL ,Johnston City CUSD 1,1720550,16028,1-Regular local school district that is NOT a component of a supervisory union
JOHNSTON COMM SCHOOL DISTRICT,Iowa,IA ,Johnston Comm School District,1915450,13194,1-Regular local school district that is NOT a component of a supervisory union
JOHNSTON COUNTY PUBLIC SCHOOLS,North Carolina,NC ,Johnston County Public Schools,3702370,11360,1-Regular local school district that is NOT a component of a supervisory union
JOHNSTONVILLE ELEMENTARY,California,CA ,Johnstonville Elementary,0619050,10180,1-Regular local school district that is NOT a component of a supervisory union
JOHNSTOWN CITY SCHOOL DISTRICT,New York,NY ,JOHNSTOWN CITY SCHOOL DISTRICT,3615980,24986,1-Regular local school district that is NOT a component of a supervisory union
JOHNSTOWN-MONROE LOCAL,Ohio,OH ,Johnstown-Monroe Local,3904798,18205,1-Regular local school district that is NOT a component of a supervisory union
JOINT SCHOOL DISTRICT NO. 2,Idaho,ID ,JOINT SCHOOL DISTRICT NO. 2,1602100,8978,1-Regular local school district that is NOT a component of a supervisory union
JOLIET ELEM,Montana,MT ,Joliet Elem,3015200,11445,1-Regular local school district that is NOT a component of a supervisory union
JOLIET H S,Montana,MT ,Joliet H S,3015260,16047,1-Regular local school district that is NOT a component of a supervisory union
JOLIET PSD 86,Illinois,IL ,Joliet PSD 86,1720580,19736,1-Regular local school district that is NOT a component of a supervisory union
JOLIET TWP HSD 204,Illinois,IL ,Joliet Twp HSD 204,1720610,18682,1-Regular local school district that is NOT a component of a supervisory union
JONATHAN ALDER LOCAL,Ohio,OH ,Jonathan Alder Local,3904826,12143,1-Regular local school district that is NOT a component of a supervisory union
JONES,Oklahoma,OK ,JONES,4015840,11094,1-Regular local school district that is NOT a component of a supervisory union
JONES CO SCHOOL DIST,Mississippi,MS ,JONES CO SCHOOL DIST,2802280,9887,1-Regular local school district that is NOT a component of a supervisory union
JONES COUNTY,Georgia,GA ,Jones County,1303150,13245,1-Regular local school district that is NOT a component of a supervisory union
JONES COUNTY SCHOOL DISTRICT 37-3,South Dakota,SD ,Jones County School District 37-3,4619580,17406,1-Regular local school district that is NOT a component of a supervisory union
JONES COUNTY SCHOOLS,North Carolina,NC ,Jones County Schools,3702400,20865,1-Regular local school district that is NOT a component of a supervisory union
JONESBORO ISD,Texas,TX ,JONESBORO ISD,4824900,11274,1-Regular local school district that is NOT a component of a supervisory union
JONESBORO PUBLIC SCHOOLS,Maine,ME ,Jonesboro Public Schools,2306900,19969,1-Regular local school district that is NOT a component of a supervisory union
JONESBORO SCHOOL DISTRICT,Arkansas,AR ,JONESBORO SCHOOL DISTRICT,0508280,14998,1-Regular local school district that is NOT a component of a supervisory union
JONESPORT PUBLIC SCHOOLS,Maine,ME ,Jonesport Public Schools,2307100,17360,1-Regular local school district that is NOT a component of a supervisory union
JONESVILLE COMMUNITY SCHOOLS,Michigan,MI ,Jonesville Community Schools,2619920,13276,1-Regular local school district that is NOT a component of a supervisory union
JOPLIN SCHOOLS,Missouri,MO ,JOPLIN SCHOOLS,2916350,13777,1-Regular local school district that is NOT a component of a supervisory union
JOPPA-MAPLE GROVE UD 38,Illinois,IL ,Joppa-Maple Grove UD 38,1700015,18818,1-Regular local school district that is NOT a component of a supervisory union
JORDAN DISTRICT,Utah,UT ,Jordan District,4900420,9748,1-Regular local school district that is NOT a component of a supervisory union
JORDAN ELEM,Montana,MT ,Jordan Elem,3015340,13423,1-Regular local school district that is NOT a component of a supervisory union
JORDAN PUBLIC SCHOOL DISTRICT,Minnesota,MN ,JORDAN PUBLIC SCHOOL DISTRICT,2715750,15107,1-Regular local school district that is NOT a component of a supervisory union
JORDAN VALLEY SD 3,Oregon,OR ,Jordan Valley SD 3,4106820,37172,1-Regular local school district that is NOT a component of a supervisory union
JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,New York,NY ,JORDAN-ELBRIDGE CENTRAL SCHOOL DISTRICT,3615990,25837,1-Regular local school district that is NOT a component of a supervisory union
JOSEPH BADGER LOCAL,Ohio,OH ,Joseph Badger Local,3905017,15154,1-Regular local school district that is NOT a component of a supervisory union
JOSEPH CITY UNIFIED DISTRICT (4388),Arizona,AZ ,Joseph City Unified District (4388),0404010,18222,1-Regular local school district that is NOT a component of a supervisory union
JOSEPH SD 6,Oregon,OR ,Joseph SD 6,4106870,17043,1-Regular local school district that is NOT a component of a supervisory union
JOSHUA ISD,Texas,TX ,JOSHUA ISD,4824930,12316,1-Regular local school district that is NOT a component of a supervisory union
JOURDANTON ISD,Texas,TX ,JOURDANTON ISD,4824960,13570,1-Regular local school district that is NOT a component of a supervisory union
JUAB DISTRICT,Utah,UT ,Juab District,4900450,14054,1-Regular local school district that is NOT a component of a supervisory union
JUDA SCHOOL DISTRICT,Wisconsin,WI ,Juda School District,5507230,18090,1-Regular local school district that is NOT a component of a supervisory union
JUDITH GAP ELEM,Montana,MT ,Judith Gap Elem,3015360,31211,1-Regular local school district that is NOT a component of a supervisory union
JUDITH GAP H S,Montana,MT ,Judith Gap H S,3015390,98000,1-Regular local school district that is NOT a component of a supervisory union
JUDSON ISD,Texas,TX ,JUDSON ISD,4824990,12560,1-Regular local school district that is NOT a component of a supervisory union
JULESBURG SCHOOL DISTRICT NO. RE1,Colorado,CO ,Julesburg School District No. Re1,0804860,21363,1-Regular local school district that is NOT a component of a supervisory union
JULIAN UNION ELEMENTARY,California,CA ,Julian Union Elementary,0619140,19279,1-Regular local school district that is NOT a component of a supervisory union
JULIAN UNION HIGH,California,CA ,Julian Union High,0619110,40188,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION CITY ELEMENTARY,California,CA ,Junction City Elementary,0619170,20214,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION CITY SCHOOL DISTRICT,Arkansas,AR ,JUNCTION CITY SCHOOL DISTRICT,0508340,12316,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION CITY SD 69,Oregon,OR ,Junction City SD 69,4106930,16245,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION ELEMENTARY,California,CA ,Junction Elementary,0619200,15049,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION ELEMENTARY,California,CA ,Junction Elementary,0619230,23438,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION HILL C-12,Missouri,MO ,JUNCTION HILL C-12,2915060,16167,1-Regular local school district that is NOT a component of a supervisory union
JUNCTION ISD,Texas,TX ,JUNCTION ISD,4825020,13778,1-Regular local school district that is NOT a component of a supervisory union
JUNEAU BOROUGH SCHOOL DISTRICT,Alaska,AK ,Juneau Borough School District,0200210,21895,1-Regular local school district that is NOT a component of a supervisory union
JUNIATA COUNTY SD,Pennsylvania,PA ,Juniata County SD,4212600,19254,1-Regular local school district that is NOT a component of a supervisory union
JUNIATA VALLEY SD,Pennsylvania,PA ,Juniata Valley SD,4212630,19006,1-Regular local school district that is NOT a component of a supervisory union
JUNTURA SD 12,Oregon,OR ,Juntura SD 12,4106960,86750,1-Regular local school district that is NOT a component of a supervisory union
JURUPA UNIFIED,California,CA ,Jurupa Unified,0619260,17458,1-Regular local school district that is NOT a component of a supervisory union
JUSTICE,Oklahoma,OK ,JUSTICE,4015900,23215,1-Regular local school district that is NOT a component of a supervisory union
JUSTUS-TIAWAH,Oklahoma,OK ,JUSTUS-TIAWAH,4015930,11247,1-Regular local school district that is NOT a component of a supervisory union
KADOKA AREA SCHOOL DISTRICT 35-2,South Dakota,SD ,Kadoka Area School District 35-2,4680437,18760,1-Regular local school district that is NOT a component of a supervisory union
KAHLOTUS SCHOOL DISTRICT,Washington,WA ,Kahlotus School District,5303780,68694,1-Regular local school district that is NOT a component of a supervisory union
KAKE CITY SCHOOL DISTRICT,Alaska,AK ,Kake City School District,0200360,42340,1-Regular local school district that is NOT a component of a supervisory union
KALAMA SCHOOL DISTRICT,Washington,WA ,Kalama School District,5303810,19368,1-Regular local school district that is NOT a component of a supervisory union
KALAMAZOO PUBLIC SCHOOLS,Michigan,MI ,Kalamazoo Public Schools,2619950,17334,1-Regular local school district that is NOT a component of a supervisory union
KALAMAZOO RESA,Michigan,MI ,Kalamazoo RESA,2680600,–,9-Specialized public school district
KALEVA NORMAN DICKSON SCHOOL DISTRICT,Michigan,MI ,Kaleva Norman Dickson School District,2620010,16733,1-Regular local school district that is NOT a component of a supervisory union
KALIDA LOCAL,Ohio,OH ,Kalida Local,3904934,14175,1-Regular local school district that is NOT a component of a supervisory union
KALISPELL ELEM,Montana,MT ,Kalispell Elem,3015450,13273,1-Regular local school district that is NOT a component of a supervisory union
KALKASKA PUBLIC SCHOOLS,Michigan,MI ,Kalkaska Public Schools,2620050,15567,1-Regular local school district that is NOT a component of a supervisory union
KAMIAH JOINT DISTRICT,Idaho,ID ,KAMIAH JOINT DISTRICT,1601620,15731,1-Regular local school district that is NOT a component of a supervisory union
KANAWHA COUNTY SCHOOLS,West Virginia,WV ,KANAWHA COUNTY SCHOOLS,5400600,17075,1-Regular local school district that is NOT a component of a supervisory union
KANE AREA SD,Pennsylvania,PA ,Kane Area SD,4212660,18969,1-Regular local school district that is NOT a component of a supervisory union
KANE DISTRICT,Utah,UT ,Kane District,4900480,19943,1-Regular local school district that is NOT a component of a supervisory union
KANELAND CUSD 302,Illinois,IL ,Kaneland CUSD 302,1724480,20437,1-Regular local school district that is NOT a component of a supervisory union
KANKAKEE AREA SPEC EDUC COOP,Illinois,IL ,Kankakee Area Spec Educ Coop,1700056,–,9-Specialized public school district
KANKAKEE SD 111,Illinois,IL ,Kankakee SD 111,1720760,20159,1-Regular local school district that is NOT a component of a supervisory union
KANKAKEE VALLEY SCHOOL CORP,Indiana,IN ,Kankakee Valley School Corp,1805280,13185,1-Regular local school district that is NOT a component of a supervisory union
KANNAPOLIS CITY SCHOOLS,North Carolina,NC ,Kannapolis City Schools,3702430,12963,1-Regular local school district that is NOT a component of a supervisory union
KANSAS,Oklahoma,OK ,KANSAS,4015990,13352,1-Regular local school district that is NOT a component of a supervisory union
KANSAS CITY,Kansas,KS ,Kansas City,2007950,17507,1-Regular local school district that is NOT a component of a supervisory union
KANSAS CITY 33,Missouri,MO ,KANSAS CITY 33,2916400,19566,1-Regular local school district that is NOT a component of a supervisory union
KANSAS CUSD 3,Illinois,IL ,Kansas CUSD 3,1720790,18425,1-Regular local school district that is NOT a component of a supervisory union
KARNACK ISD,Texas,TX ,KARNACK ISD,4825110,24978,1-Regular local school district that is NOT a component of a supervisory union
KARNES CITY ISD,Texas,TX ,KARNES CITY ISD,4825140,42981,1-Regular local school district that is NOT a component of a supervisory union
KARNS CITY AREA SD,Pennsylvania,PA ,Karns City Area SD,4209600,18960,1-Regular local school district that is NOT a component of a supervisory union
KARVAL SCHOOL DISTRICT NO. RE 23,Colorado,CO ,Karval School District No. Re 23,0804890,31116,1-Regular local school district that is NOT a component of a supervisory union
KASHIA ELEMENTARY,California,CA ,Kashia Elementary,0632340,43889,1-Regular local school district that is NOT a component of a supervisory union
KASHUNAMIUT SCHOOL DISTRICT,Alaska,AK ,Kashunamiut School District,0200005,37092,1-Regular local school district that is NOT a component of a supervisory union
KASKASKIA SPEC EDUC DISTRICT,Illinois,IL ,Kaskaskia Spec Educ District,1700074,–,9-Specialized public school district
KASSON-MANTORVILLE SCHOOL DISTRICT,Minnesota,MN ,KASSON-MANTORVILLE SCHOOL DISTRICT,2716980,14243,1-Regular local school district that is NOT a component of a supervisory union
KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT,New York,NY ,KATONAH-LEWISBORO UNION FREE SCHOOL DISTRICT,3616080,38060,1-Regular local school district that is NOT a component of a supervisory union
KATY ISD,Texas,TX ,KATY ISD,4825170,14435,1-Regular local school district that is NOT a component of a supervisory union
KAUFMAN ISD,Texas,TX ,KAUFMAN ISD,4825200,12333,1-Regular local school district that is NOT a component of a supervisory union
KAUKAUNA AREA SCHOOL DISTRICT,Wisconsin,WI ,Kaukauna Area School District,5507290,15647,1-Regular local school district that is NOT a component of a supervisory union
KAW VALLEY,Kansas,KS ,Kaw Valley,2007970,15493,1-Regular local school district that is NOT a component of a supervisory union
KAYENTA UNIFIED SCHOOL DISTRICT #27 (4396),Arizona,AZ ,Kayenta Unified School District #27 (4396),0404060,22278,1-Regular local school district that is NOT a component of a supervisory union
KEANSBURG SCHOOL DISTRICT,New Jersey,NJ ,Keansburg School District,3407860,29063,1-Regular local school district that is NOT a component of a supervisory union
KEARNEY PUBLIC SCHOOLS,Nebraska,NE ,KEARNEY PUBLIC SCHOOLS,3172390,12031,1-Regular local school district that is NOT a component of a supervisory union
KEARNEY R-I,Missouri,MO ,KEARNEY R-I,2916450,11958,1-Regular local school district that is NOT a component of a supervisory union
KEARNY,New Jersey,NJ ,Kearny,3407890,26912,1-Regular local school district that is NOT a component of a supervisory union
KEARSARGE REGIONAL SCHOOL DISTRICT,New Hampshire,NH ,Kearsarge Regional School District,3304040,24436,2-Local school district that is a component of a supervisory union
KEARSLEY COMMUNITY SCHOOL DISTRICT,Michigan,MI ,Kearsley Community School District,2620070,13576,1-Regular local school district that is NOT a component of a supervisory union
KEENE CENTRAL SCHOOL DISTRICT,New York,NY ,KEENE CENTRAL SCHOOL DISTRICT,3616140,68449,1-Regular local school district that is NOT a component of a supervisory union
KEENE ISD,Texas,TX ,KEENE ISD,4825230,15068,1-Regular local school district that is NOT a component of a supervisory union
KEENE SCHOOL DISTRICT,New Hampshire,NH ,Keene School District,3304050,21283,2-Local school district that is a component of a supervisory union
KEENEYVILLE SD 20,Illinois,IL ,Keeneyville SD 20,1720880,19138,1-Regular local school district that is NOT a component of a supervisory union
KELL CONS SD 2,Illinois,IL ,Kell Cons SD 2,1720910,21957,1-Regular local school district that is NOT a component of a supervisory union
KELLER ISD,Texas,TX ,KELLER ISD,4825260,15074,1-Regular local school district that is NOT a component of a supervisory union
KELLER SCHOOL DISTRICT,Washington,WA ,Keller School District,5303870,45688,1-Regular local school district that is NOT a component of a supervisory union
KELLEYS ISLAND LOCAL,Ohio,OH ,Kelleys Island Local,3904679,125800,1-Regular local school district that is NOT a component of a supervisory union
KELLIHER PUBLIC SCHOOL DISTRICT,Minnesota,MN ,KELLIHER PUBLIC SCHOOL DISTRICT,2717010,26189,1-Regular local school district that is NOT a component of a supervisory union
KELLOGG JOINT DISTRICT,Idaho,ID ,KELLOGG JOINT DISTRICT,1601650,13155,1-Regular local school district that is NOT a component of a supervisory union
KELLOGGSVILLE PUBLIC SCHOOLS,Michigan,MI ,Kelloggsville Public Schools,2620160,20685,1-Regular local school district that is NOT a component of a supervisory union
KELLYVILLE,Oklahoma,OK ,KELLYVILLE,4016170,10877,1-Regular local school district that is NOT a component of a supervisory union
KELSEYVILLE UNIFIED,California,CA ,Kelseyville Unified,0619320,16011,1-Regular local school district that is NOT a component of a supervisory union
KELSO C-7,Missouri,MO ,KELSO C-7,2916470,19656,1-Regular local school district that is NOT a component of a supervisory union
KELSO SCHOOL DISTRICT,Washington,WA ,Kelso School District,5300003,23411,1-Regular local school district that is NOT a component of a supervisory union
KELTON ISD,Texas,TX ,KELTON ISD,4825290,36328,1-Regular local school district that is NOT a component of a supervisory union
KEMP ISD,Texas,TX ,KEMP ISD,4825320,12780,1-Regular local school district that is NOT a component of a supervisory union
KEMPER CO SCHOOL DIST,Mississippi,MS ,KEMPER CO SCHOOL DIST,2802310,19245,1-Regular local school district that is NOT a component of a supervisory union
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,AK ,Kenai Peninsula Borough School District,0200390,20460,1-Regular local school district that is NOT a component of a supervisory union
KENDALL CENTRAL SCHOOL DISTRICT,New York,NY ,KENDALL CENTRAL SCHOOL DISTRICT,3616200,24708,1-Regular local school district that is NOT a component of a supervisory union
KENDRICK JOINT DISTRICT,Idaho,ID ,KENDRICK JOINT DISTRICT,1601680,16000,1-Regular local school district that is NOT a component of a supervisory union
KENEDY COUNTY WIDE CSD,Texas,TX ,KENEDY COUNTY WIDE CSD,4825410,101812,1-Regular local school district that is NOT a component of a supervisory union
KENEDY ISD,Texas,TX ,KENEDY ISD,4825440,17692,1-Regular local school district that is NOT a component of a supervisory union
KENESAW PUBLIC SCHOOLS,Nebraska,NE ,KENESAW PUBLIC SCHOOLS,3172420,21313,1-Regular local school district that is NOT a component of a supervisory union
KENILWORTH SCHOOL DISTRICT,New Jersey,NJ ,Kenilworth School District,3407920,27743,1-Regular local school district that is NOT a component of a supervisory union
KENILWORTH SD 38,Illinois,IL ,Kenilworth SD 38,1720970,32859,1-Regular local school district that is NOT a component of a supervisory union
KENMARE 28,North Dakota,ND ,KENMARE 28,3810180,20464,1-Regular local school district that is NOT a component of a supervisory union
KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,New York,NY ,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,3616230,30801,1-Regular local school district that is NOT a component of a supervisory union
KENNARD ISD,Texas,TX ,KENNARD ISD,4825470,15482,1-Regular local school district that is NOT a component of a supervisory union
KENNEDALE ISD,Texas,TX ,KENNEDALE ISD,4825500,12582,1-Regular local school district that is NOT a component of a supervisory union
KENNETT 39,Missouri,MO ,KENNETT 39,2916500,13681,1-Regular local school district that is NOT a component of a supervisory union
KENNETT CONSOLIDATED SD,Pennsylvania,PA ,Kennett Consolidated SD,4212690,22655,1-Regular local school district that is NOT a component of a supervisory union
KENNEWICK SCHOOL DISTRICT,Washington,WA ,Kennewick School District,5303930,16581,1-Regular local school district that is NOT a component of a supervisory union
KENOSHA SCHOOL DISTRICT,Wisconsin,WI ,Kenosha School District,5507320,15612,1-Regular local school district that is NOT a component of a supervisory union
KENOWA HILLS PUBLIC SCHOOLS,Michigan,MI ,Kenowa Hills Public Schools,2620280,17633,1-Regular local school district that is NOT a component of a supervisory union
KENSAL 19,North Dakota,ND ,KENSAL 19,3810260,25450,1-Regular local school district that is NOT a component of a supervisory union
KENSINGTON SCHOOL DISTRICT,New Hampshire,NH ,Kensington School District,3304080,29555,2-Local school district that is a component of a supervisory union
KENSTON LOCAL,Ohio,OH ,Kenston Local,3904719,17701,1-Regular local school district that is NOT a component of a supervisory union
KENT CITY,Ohio,OH ,Kent City,3904416,21859,1-Regular local school district that is NOT a component of a supervisory union
KENT CITY COMMUNITY SCHOOLS,Michigan,MI ,Kent City Community Schools,2620310,21955,1-Regular local school district that is NOT a component of a supervisory union
KENT COUNTY PUBLIC SCHOOLS,Maryland,MD ,Kent County Public Schools,2400450,53203,1-Regular local school district that is NOT a component of a supervisory union
KENT ISD,Michigan,MI ,Kent ISD,2680620,–,9-Specialized public school district
KENT SCHOOL DISTRICT,Connecticut,CT ,Kent School District,0902040,33807,1-Regular local school district that is NOT a component of a supervisory union
KENT SCHOOL DISTRICT,Washington,WA ,Kent School District,5303960,19780,1-Regular local school district that is NOT a component of a supervisory union
KENTFIELD ELEMENTARY,California,CA ,Kentfield Elementary,0619380,22628,1-Regular local school district that is NOT a component of a supervisory union
KENTON CITY,Ohio,OH ,Kenton City,3910025,14402,1-Regular local school district that is NOT a component of a supervisory union
KENTON COUNTY,Kentucky,KY ,Kenton County,2103090,13917,1-Regular local school district that is NOT a component of a supervisory union
KENTWOOD PUBLIC SCHOOLS,Michigan,MI ,Kentwood Public Schools,2620340,16672,1-Regular local school district that is NOT a component of a supervisory union
KENWOOD,California,CA ,Kenwood,0619410,29422,1-Regular local school district that is NOT a component of a supervisory union
KENWOOD,Oklahoma,OK ,KENWOOD,4016320,17544,1-Regular local school district that is NOT a component of a supervisory union
KENYON-WANAMINGO SCHOOL DISTRICT,Minnesota,MN ,KENYON-WANAMINGO SCHOOL DISTRICT,2717100,18639,1-Regular local school district that is NOT a component of a supervisory union
KEOKUK COMM SCHOOL DISTRICT,Iowa,IA ,Keokuk Comm School District,1915630,16409,1-Regular local school district that is NOT a component of a supervisory union
KEOTA,Oklahoma,OK ,KEOTA,4016350,13012,1-Regular local school district that is NOT a component of a supervisory union
KEOTA COMM SCHOOL DISTRICT,Iowa,IA ,Keota Comm School District,1915660,14460,1-Regular local school district that is NOT a component of a supervisory union
KEPPEL UNION ELEMENTARY,California,CA ,Keppel Union Elementary,0619440,16367,1-Regular local school district that is NOT a component of a supervisory union
KERENS ISD,Texas,TX ,KERENS ISD,4825530,19324,1-Regular local school district that is NOT a component of a supervisory union
KERKHOVEN-MURDOCK-SUNBURG,Minnesota,MN ,KERKHOVEN-MURDOCK-SUNBURG,2717120,20526,1-Regular local school district that is NOT a component of a supervisory union
KERMAN UNIFIED,California,CA ,Kerman Unified,0619490,14887,1-Regular local school district that is NOT a component of a supervisory union
KERMIT ISD,Texas,TX ,KERMIT ISD,4825560,17086,1-Regular local school district that is NOT a component of a supervisory union
KERN COUNTY OFFICE OF EDUCATION,California,CA ,Kern County Office of Education,0691012,188117,1-Regular local school district that is NOT a component of a supervisory union
KERN COUNTY ROP,California,CA ,Kern County ROP,0600075,–,9-Specialized public school district
KERN HIGH,California,CA ,Kern High,0619540,19114,1-Regular local school district that is NOT a component of a supervisory union
KERN HIGH ROC,California,CA ,Kern High ROC,0600076,–,9-Specialized public school district
KERNVILLE UNION ELEMENTARY,California,CA ,Kernville Union Elementary,0619590,22091,1-Regular local school district that is NOT a component of a supervisory union
KERRVILLE ISD,Texas,TX ,KERRVILLE ISD,4825590,12462,1-Regular local school district that is NOT a component of a supervisory union
KERSHAW 01,South Carolina,SC ,Kershaw 01,4502550,16649,1-Regular local school district that is NOT a component of a supervisory union
KESTER ELEM,Montana,MT ,Kester Elem,3015510,160000,1-Regular local school district that is NOT a component of a supervisory union
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,AK ,Ketchikan Gateway Borough School District,0200150,23651,1-Regular local school district that is NOT a component of a supervisory union
KETCHUM,Oklahoma,OK ,KETCHUM,4016380,15049,1-Regular local school district that is NOT a component of a supervisory union
KETTERING CITY SCHOOL DISTRICT,Ohio,OH ,Kettering City School District,3904418,16695,1-Regular local school district that is NOT a component of a supervisory union
KETTLE FALLS SCHOOL DISTRICT,Washington,WA ,Kettle Falls School District,5303990,15798,1-Regular local school district that is NOT a component of a supervisory union
KETTLE MORAINE SCHOOL DISTRICT,Wisconsin,WI ,Kettle Moraine School District,5503510,15103,1-Regular local school district that is NOT a component of a supervisory union
KEWANEE CUSD 229,Illinois,IL ,Kewanee CUSD 229,1721000,17464,1-Regular local school district that is NOT a component of a supervisory union
KEWASKUM SCHOOL DISTRICT,Wisconsin,WI ,Kewaskum School District,5507380,14092,1-Regular local school district that is NOT a component of a supervisory union
KEWAUNEE SCHOOL DISTRICT,Wisconsin,WI ,Kewaunee School District,5507410,16437,1-Regular local school district that is NOT a component of a supervisory union
KEYA PAHA COUNTY SCHOOLS,Nebraska,NE ,KEYA PAHA COUNTY SCHOOLS,3172480,32000,1-Regular local school district that is NOT a component of a supervisory union
KEYES UNION,California,CA ,Keyes Union,0619620,17609,1-Regular local school district that is NOT a component of a supervisory union
KEYPORT SCHOOL DISTRICT,New Jersey,NJ ,Keyport School District,3407950,27993,1-Regular local school district that is NOT a component of a supervisory union
KEYS,Oklahoma,OK ,KEYS,4000033,13013,1-Regular local school district that is NOT a component of a supervisory union
KEYSTONE,Oklahoma,OK ,KEYSTONE,4016470,12520,1-Regular local school district that is NOT a component of a supervisory union
KEYSTONE CENTRAL CTC,Pennsylvania,PA ,Keystone Central CTC,4280670,–,9-Specialized public school district
KEYSTONE CENTRAL SD,Pennsylvania,PA ,Keystone Central SD,4212725,23904,1-Regular local school district that is NOT a component of a supervisory union
KEYSTONE LOCAL,Ohio,OH ,Keystone Local,3904816,12746,1-Regular local school district that is NOT a component of a supervisory union
KEYSTONE OAKS SD,Pennsylvania,PA ,Keystone Oaks SD,4212750,21726,1-Regular local school district that is NOT a component of a supervisory union
KEYSTONE SD,Pennsylvania,PA ,Keystone SD,4212720,21151,1-Regular local school district that is NOT a component of a supervisory union
KEYTESVILLE R-III,Missouri,MO ,KEYTESVILLE R-III,2916530,25317,1-Regular local school district that is NOT a component of a supervisory union
KICKAPOO AREA SCHOOL DISTRICT,Wisconsin,WI ,Kickapoo Area School District,5512540,19135,1-Regular local school district that is NOT a component of a supervisory union
KIDDER COUNTY 1,North Dakota,ND ,KIDDER COUNTY 1,3800389,15819,1-Regular local school district that is NOT a component of a supervisory union
KIEFER,Oklahoma,OK ,KIEFER,4016500,11040,1-Regular local school district that is NOT a component of a supervisory union
KIEL AREA SCHOOL DISTRICT,Wisconsin,WI ,Kiel Area School District,5507440,15649,1-Regular local school district that is NOT a component of a supervisory union
KILA ELEM,Montana,MT ,Kila Elem,3015570,12924,1-Regular local school district that is NOT a component of a supervisory union
KILDARE,Oklahoma,OK ,KILDARE,4016530,32957,1-Regular local school district that is NOT a component of a supervisory union
KILDEER COUNTRYSIDE CCSD 96,Illinois,IL ,Kildeer Countryside CCSD 96,1721030,23523,1-Regular local school district that is NOT a component of a supervisory union
KILGORE ISD,Texas,TX ,KILGORE ISD,4825620,14054,1-Regular local school district that is NOT a component of a supervisory union
KILLDEER 16,North Dakota,ND ,KILLDEER 16,3810270,54494,1-Regular local school district that is NOT a component of a supervisory union
KILLEEN ISD,Texas,TX ,KILLEEN ISD,4825660,13583,1-Regular local school district that is NOT a component of a supervisory union
KILLINGLY SCHOOL DISTRICT,Connecticut,CT ,Killingly School District,0902070,24245,1-Regular local school district that is NOT a component of a supervisory union
KIM REORGANIZED SCHOOL DISTRICT NO. 88,Colorado,CO ,Kim Reorganized School District No. 88,0804980,43219,1-Regular local school district that is NOT a component of a supervisory union
KIMBALL PUBLIC SCHOOL DISTRICT,Minnesota,MN ,KIMBALL PUBLIC SCHOOL DISTRICT,2717220,18350,1-Regular local school district that is NOT a component of a supervisory union
KIMBALL PUBLIC SCHOOLS,Nebraska,NE ,KIMBALL PUBLIC SCHOOLS,3172570,23417,1-Regular local school district that is NOT a component of a supervisory union
KIMBALL SCHOOL DISTRICT 07-2,South Dakota,SD ,Kimball School District 07-2,4638220,13783,1-Regular local school district that is NOT a component of a supervisory union
KIMBERLY AREA SCHOOL DISTRICT,Wisconsin,WI ,Kimberly Area School District,5507470,12653,1-Regular local school district that is NOT a component of a supervisory union
KIMBERLY DISTRICT,Idaho,ID ,KIMBERLY DISTRICT,1601710,8661,1-Regular local school district that is NOT a component of a supervisory union
KINDERHOOK CENTRAL SCHOOL DISTRICT,New York,NY ,KINDERHOOK CENTRAL SCHOOL DISTRICT,3615210,36180,1-Regular local school district that is NOT a component of a supervisory union
KINDRED 2,North Dakota,ND ,KINDRED 2,3800025,16617,1-Regular local school district that is NOT a component of a supervisory union
KING AND QUEEN COUNTY PUBLIC SCHOOLS,Virginia,VA ,KING AND QUEEN CO PBLC SCHS,5102070,15890,1-Regular local school district that is NOT a component of a supervisory union
KING CITY R-I,Missouri,MO ,KING CITY R-I,2916590,15145,1-Regular local school district that is NOT a component of a supervisory union
KING CITY UNION,California,CA ,King City Union,0619680,17161,1-Regular local school district that is NOT a component of a supervisory union
KING COLONY ELEM,Montana,MT ,King Colony Elem,3015610,16778,1-Regular local school district that is NOT a component of a supervisory union
KING GEORGE COUNTY PUBLIC SCHOOLS,Virginia,VA ,KING GEO CO PBLC SCHS,5102100,11940,1-Regular local school district that is NOT a component of a supervisory union
KING PHILIP,Massachusetts,MA ,King Philip,2506510,24813,1-Regular local school district that is NOT a component of a supervisory union
