Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
BELPRE CITY,Ohio,OH ,Belpre City,3904361,13581,1-Regular local school district that is NOT a component of a supervisory union
BELT ELEM,Montana,MT ,Belt Elem,3003420,10884,1-Regular local school district that is NOT a component of a supervisory union
BELT H S,Montana,MT ,Belt H S,3003450,21759,1-Regular local school district that is NOT a component of a supervisory union
BELTON 124,Missouri,MO ,BELTON 124,2904620,15431,1-Regular local school district that is NOT a component of a supervisory union
BELTON ISD,Texas,TX ,BELTON ISD,4809860,12420,1-Regular local school district that is NOT a component of a supervisory union
BELVIDERE CUSD 100,Illinois,IL ,Belvidere CUSD 100,1705790,18415,1-Regular local school district that is NOT a component of a supervisory union
BELVIDERE SCHOOL DISTRICT,New Jersey,NJ ,Belvidere School District,3401440,27582,1-Regular local school district that is NOT a component of a supervisory union
BEMENT CUSD 5,Illinois,IL ,Bement CUSD 5,1705820,17405,1-Regular local school district that is NOT a component of a supervisory union
BEMIDJI PUBLIC SCHOOL DISTRICT,Minnesota,MN ,BEMIDJI PUBLIC SCHOOL DISTRICT,2704440,15918,1-Regular local school district that is NOT a component of a supervisory union
BEMIDJI REGIONAL INTERDIST. COUNCIL,Minnesota,MN ,BEMIDJI REGIONAL INTERDIST. COUNCIL,2700051,–,9-Specialized public school district
BEMUS POINT CENTRAL SCHOOL DISTRICT,New York,NY ,BEMUS POINT CENTRAL SCHOOL DISTRICT,3604530,26067,1-Regular local school district that is NOT a component of a supervisory union
BEN BOLT-PALITO BLANCO ISD,Texas,TX ,BEN BOLT-PALITO BLANCO ISD,4809870,13924,1-Regular local school district that is NOT a component of a supervisory union
BEN HILL COUNTY,Georgia,GA ,Ben Hill County,1300360,22289,1-Regular local school district that is NOT a component of a supervisory union
BENAVIDES ISD,Texas,TX ,BENAVIDES ISD,4899130,30914,1-Regular local school district that is NOT a component of a supervisory union
BEND-LAPINE ADMINISTRATIVE SD 1,Oregon,OR ,Bend-LaPine Administrative SD 1,4101980,16790,1-Regular local school district that is NOT a component of a supervisory union
BENDLE PUBLIC SCHOOLS,Michigan,MI ,Bendle Public Schools,2604740,15757,1-Regular local school district that is NOT a component of a supervisory union
BENGE SCHOOL DISTRICT,Washington,WA ,Benge School District,5300450,33833,1-Regular local school district that is NOT a component of a supervisory union
BENICIA UNIFIED,California,CA ,Benicia Unified,0604620,15252,1-Regular local school district that is NOT a component of a supervisory union
BENJAMIN ISD,Texas,TX ,BENJAMIN ISD,4809980,46992,1-Regular local school district that is NOT a component of a supervisory union
BENJAMIN LOGAN LOCAL,Ohio,OH ,Benjamin Logan Local,3904807,13100,1-Regular local school district that is NOT a component of a supervisory union
BENJAMIN SD 25,Illinois,IL ,Benjamin SD 25,1705880,23673,1-Regular local school district that is NOT a component of a supervisory union
BENNETT COMM SCHOOL DISTRICT,Iowa,IA ,Bennett Comm School District,1904740,30975,1-Regular local school district that is NOT a component of a supervisory union
BENNETT COUNTY SCHOOL DISTRICT 03-1,South Dakota,SD ,Bennett County School District 03-1,4606240,23044,1-Regular local school district that is NOT a component of a supervisory union
BENNETT SCHOOL DISTRICT NO. 29J,Colorado,CO ,Bennett School District No. 29J,0802430,12549,1-Regular local school district that is NOT a component of a supervisory union
BENNETT VALLEY UNION ELEMENTARY,California,CA ,Bennett Valley Union Elementary,0604650,14205,1-Regular local school district that is NOT a component of a supervisory union
BENNINGTON,Oklahoma,OK ,BENNINGTON,4003930,13689,1-Regular local school district that is NOT a component of a supervisory union
BENNINGTON PUBLIC SCHOOLS,Nebraska,NE ,BENNINGTON PUBLIC SCHOOLS,3103990,20591,1-Regular local school district that is NOT a component of a supervisory union
BENSALEM TOWNSHIP SD,Pennsylvania,PA ,Bensalem Township SD,4203330,25173,1-Regular local school district that is NOT a component of a supervisory union
BENSENVILLE SD 2,Illinois,IL ,Bensenville SD 2,1705910,24695,1-Regular local school district that is NOT a component of a supervisory union
BENSON PUBLIC SCHOOL DISTRICT,Minnesota,MN ,BENSON PUBLIC SCHOOL DISTRICT,2704470,18775,1-Regular local school district that is NOT a component of a supervisory union
BENSON UNIFIED SCHOOL DISTRICT (79226),Arizona,AZ ,Benson Unified School District (79226),0400212,11920,1-Regular local school district that is NOT a component of a supervisory union
BENTLEY COMMUNITY SCHOOL DISTRICT,Michigan,MI ,Bentley Community School District,2604800,15876,1-Regular local school district that is NOT a component of a supervisory union
BENTON AREA SD,Pennsylvania,PA ,Benton Area SD,4203390,22320,1-Regular local school district that is NOT a component of a supervisory union
BENTON CARROLL SALEM LOCAL,Ohio,OH ,Benton Carroll Salem Local,3904892,14672,1-Regular local school district that is NOT a component of a supervisory union
BENTON CCSD 47,Illinois,IL ,Benton CCSD 47,1705950,13847,1-Regular local school district that is NOT a component of a supervisory union
BENTON CO SCHOOL DIST,Mississippi,MS ,BENTON CO SCHOOL DIST,2800600,13863,1-Regular local school district that is NOT a component of a supervisory union
BENTON COMM SCHOOL DISTRICT,Iowa,IA ,Benton Comm School District,1904830,13301,1-Regular local school district that is NOT a component of a supervisory union
BENTON COMMUNITY SCHOOL CORP,Indiana,IN ,Benton Community School Corp,1800480,17353,1-Regular local school district that is NOT a component of a supervisory union
BENTON CONS HSD 103,Illinois,IL ,Benton Cons HSD 103,1705970,18597,1-Regular local school district that is NOT a component of a supervisory union
BENTON COUNTY,Tennessee,TN ,Benton County,4700240,13598,1-Regular local school district that is NOT a component of a supervisory union
BENTON HARBOR AREA SCHOOLS,Michigan,MI ,Benton Harbor Area Schools,2604830,17315,1-Regular local school district that is NOT a component of a supervisory union
BENTON LAKE ELEM,Montana,MT ,Benton Lake Elem,3003480,21143,1-Regular local school district that is NOT a component of a supervisory union
BENTON SCHOOL DISTRICT,Arkansas,AR ,BENTON SCHOOL DISTRICT,0502960,10911,1-Regular local school district that is NOT a component of a supervisory union
